station_id,name,lat,lng,borough,capacity
3739.06,4 Ave & 17 St,40.665507,-73.993037,Brooklyn,27
3742.11,Carroll St & Rochester Ave,40.66598,-73.9284,Brooklyn,22
3751.05,Crown St & Troy Ave,40.66559,-73.93712,Brooklyn,25
3759.07,Kingston Ave & Montgomery St,40.66481,-73.94269,Brooklyn,26
3762.08,10 St & 7 Ave,40.6662078,-73.98199886,Brooklyn,30
3768.02,Crown St & Rogers Ave,40.66639,-73.95346,Brooklyn,27
3771.06,14 St & 5 Ave,40.666287,-73.98895053,Brooklyn,35
3774.06,Rockaway Pkwy & Rutland Rd,40.66455,-73.92376,Brooklyn,20
3776.05,Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013,Brooklyn,28
3776.1,McKeever Pl & Sullivan Pl,40.66432331577469,-73.95921791486467,Brooklyn,24
3779.02,3 Ave & 17 St,40.666168,-73.995549,Brooklyn,22
3782.03,Carroll St & Utica Ave,40.66619,-73.93162,Brooklyn,23
3791.02,Albany Ave & Carroll St,40.6667,-73.93972,Brooklyn,24
3803.05,6 Ave & 12 St,40.6663181,-73.9854617,Brooklyn,32
3803.09,6 Ave & 9 St,40.668127,-73.98377641,Brooklyn,38
3811.05,16 St & 4 Ave,40.666197,-73.992466,Brooklyn,26
3814.01,Buffalo Ave & E New York Ave,40.66591,-73.92602,Brooklyn,23
3822.08,Schenectady Ave & President St,40.66732,-73.93398,Brooklyn,24
3831.03,Kingston Ave & Carroll St,40.66688,-73.9425,Brooklyn,27
3834.1,6 St & 7 Ave,40.6686627,-73.97988067,Brooklyn,35
3839.02,President St & Nostrand Ave,40.66811,-73.9505,Brooklyn,28
3842.08,10 St & 5 Ave,40.6686273,-73.98700053,Brooklyn,31
3845.05,Eastern Pkwy & Ralph Ave,40.66852,-73.92284,Brooklyn,20
3847.04,Carroll St & Franklin Ave,40.6679411,-73.9588,Brooklyn,26
3850.03,3 Ave & 14 St,40.6685455,-73.99333264,Brooklyn,23
